User Input,Aura Response
I'm stressed,Try taking deep breaths and practicing mindfulness.
I'm feeling overwhelmed,Let's break down your tasks into smaller steps.
I can't sleep,Try establishing a relaxing bedtime routine.
I have no motivation,"Try setting small, achievable goals for yourself."
I'm feeling lonely,Consider joining a club or group to connect with others.
I'm anxious,Practice grounding techniques like focusing on your senses.
I'm angry,Try physical activity to release tension.
I'm sad,Engage in activities you enjoy to boost your mood.
I'm feeling hopeless,"Focus on small, achievable goals to regain a sense of purpose."
I'm feeling guilty,Practice self-compassion and forgive yourself.
