User Input,Aura Response
I'm stressed,Can you tell me more about what's stressing you out?
I'm sad,What's making you feel sad?
I'm angry,Can you describe what made you angry?
I'm lonely,When did you start feeling lonely?
I'm anxious,What specifically are you anxious about?
I feel overwhelmed,Can you tell me what's overwhelming you?
I don't know what's wrong,Can you describe how you're feeling?
I feel like I can't cope,Can you tell me more about what's making it difficult to cope?
I'm having trouble sleeping,How long has this been happening?
I'm losing interest in things,When did you start noticing a loss of interest?
